Treatment Method,Recovery Rate (%)
A,71
A,69
A,73
A,71
A,71
A,70
A,70
A,78
A,68
A,75
A,65
A,68
A,72
A,73
A,75
A,74
A,78
A,75
A,65
A,65
A,68
A,75
A,78
A,75
A,73
A,71
A,72
A,65
A,65
A,73
A,74
A,74
A,68
A,73
A,72
A,75
A,68
A,75
A,68
A,69
A,74
A,75
A,73
A,68
A,78
A,70
A,71
A,69
A,71
A,71
A,71
A,69
A,68
A,73
A,72
A,65
A,73
A,75
A,68
A,75
A,71
A,70
A,70
A,74
A,65
A,71
A,73
A,73
A,72
A,78
A,69
A,73
A,78
A,73
A,69
A,70
A,70
A,75
A,68
A,78
A,69
A,65
A,65
A,68
A,65
A,73
A,65
A,75
A,72
A,69
A,74
A,70
A,69
A,75
A,74
A,71
A,69
A,70
A,78
A,65
B,84
B,89
B,90
B,85
B,89
B,80
B,83
B,88
B,88
B,89
B,80
B,85
B,87
B,83
B,89
B,82
B,89
B,86
B,89
B,84
B,82
B,85
B,82
B,90
B,80
B,86
B,88
B,83
B,88
B,87
B,87
B,88
B,90
B,89
B,89
B,89
B,88
B,82
B,82
B,84
B,90
B,83
B,80
B,84
B,85
B,86
B,89
B,84
B,90
B,87
B,88
B,83
B,84
B,86
B,90
B,86
B,80
B,84
B,83
B,90
B,86
B,82
B,86
B,87
B,86
B,90
B,83
B,85
B,86
B,86
B,83
B,80
B,86
B,86
B,80
B,86
B,80
B,80
B,88
B,88
B,88
B,87
B,90
B,84
B,80
B,89
B,82
B,89
B,86
B,90
B,80
B,80
B,84
B,87
B,83
B,89
B,88
B,83
B,85
B,84
C,59
C,54
C,61
C,56
C,57
C,54
C,59
C,57
C,56
C,58
C,55
C,57
C,60
C,58
C,57
C,62
C,59
C,57
C,57
C,59
C,54
C,55
C,58
C,61
C,56
C,58
C,56
C,62
C,55
C,54
C,59
C,63
C,60
C,63
C,54
C,59
C,63
C,54
C,58
C,58
C,60
C,57
C,55
C,57
C,60
C,61
C,61
C,54
C,62
C,60
C,59
C,60
C,61
C,56
C,56
C,58
C,59
C,61
C,56
C,63
C,56
C,62
C,57
C,61
C,59
C,58
C,57
C,59
C,55
C,54
C,58
C,61
C,55
C,63
C,62
C,54
C,55
C,55
C,55
C,59
C,60
C,58
C,56
C,63
C,63
C,61
C,63
C,55
C,59
C,58
C,57
C,60
C,59
C,54
C,59
C,59
C,54
C,58
C,58
C,60
